year,wf_bia,wf_blm,wf_fs,wf_fws,wf_nps,wf_state
1993,41025,610353,257661,37425,63820,787263
1994,265465,765195,1479735,171933,85696,1305552
1995,62870,607157,216357,46857,33937,873368
1996,221212,2150798,1165868,189504,109417,2229199
1997,23300,984830,153792,790567,30333,874137
1998,65231,381439,212329,53583,25876,1591247
1999,77387,2432978,717679,363170,186062,1884688
2000,321907,1694407,2333672,396760,136145,2510602
2001,149895,1029893,595268,43909,59517,1691743
2002,465390,1139465,2402501,505246,176965,2493412
2003,269767,352466,1428266,325408,196895,1386420
2004,71292,1305794,551966,2096403,42352,4030073
2005,194757,3591721,781148,1842177,128761,2150825
2006,376824,2406622,1896071,236746,73566,4883916
2007,266593,2021009,2835577,501038,102459,3601369
2008,168336,330981,1234479,95952,89061,3373659
2009,200562,989029,715677,821838,182047,3012633
2010,106978,830377,319730,187991,174255,1803633
2011,364767,959410,1729937,171368,98147,5387738
2012,866444,3331273,2680233,101752,140807,2205729
2013,173491,1012600,1365644,138284,265755,1363772
2014,327352,871642,871876,17404,24949,1482390
2015,591644,4770133,1916302,33897,74780,2738393
2016,325162,1183821,1247906,15374,177901,2559831
2017,306542,2711267,2866031,206393,110349,3825504
2018,216118,1905343,2307439,71137,121092,4146363
2019,151305,2024554,615816,91311,27533,1753845